time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
205,100,6.65,3,0.34165,665,-1.58277864,,,
342,200,7.38,4,0.01,1403,-2.72905821,,,
419,300,6.7,4,0.01,2073,-1.9477820900000002,,,
472,400,6.68,5,0.01,2741,-1.9645274899999998,,,
516,500,7.74,6,0.01,3515,-2.964814460000001,,,
542,600,6.46,7,0.01,4161,-1.6250314399999997,,,
569,700,7.69,8,0.01,4930,-2.796082280000001,,,
505,800,2.53,10,0.01,5183,1.6084908500000004,0.0002,1.6902859210968018,180
448,900,2.12,12,0.01,5395,1.84729274,0.0002,1.4577699899673462,392
411,1000,1.7,13,0.01,5565,1.9158366199999997,0.0002,1.470396250486374,564
382,1100,1.66,14,0.01,5731,1.88956507,0.0002,1.0772548168897629,728
360,1200,1.5,16,0.01,5881,1.8786634300000002,0.0002,1.2626329362392426,880
342,1300,1.39,17,0.01,6020,1.8586084299999999,0.0002,1.1625505685806274,1016
325,1400,1.41,18,0.01,6161,1.83750316,0.0002,1.0171583592891693,1160
311,1500,1.4,20,0.01,6301,1.88873848,0.0002,0.8934504389762878,1300
300,1600,1.26,21,0.01,6427,1.8895443799999998,0.0002,0.881354570388794,1424
289,1700,1.38,22,0.01,6565,1.8951277100000001,0.0002,0.7558372020721436,1564
278,1800,1.47,24,0.01,6712,1.8779695600000001,0.0002,0.5866046398878098,1708
270,1900,1.33,25,0.01,6845,1.91624804,0.0002,0.5686007142066956,1844
261,2000,1.41,26,0.01,6986,1.89329849,0.0002,0.5183834210038185,1984
254,2100,1.43,28,0.01,7129,1.8732624900000001,0.0002,0.6164349541068077,2128
247,2200,1.22,29,0.01,7251,1.9365912699999996,0.0002,0.5193642005324364,2248
241,2300,1.41,30,0.01,7392,1.9090741400000002,0.0002,0.37646812200546265,2388
234,2400,1.62,32,0.01,7554,1.8683326199999999,0.0002,0.35976542532444,2552
229,2500,1.37,33,0.01,7691,1.8974068400000004,0.0002,0.5373821035027504,2688
225,2600,1.53,34,0.01,7844,1.86712882,0.0002,0.5309791564941406,2840
221,2700,1.37,36,0.01,7981,1.9245588800000002,0.0002,0.3261449709534645,2980
217,2800,1.28,37,0.01,8109,1.9110322700000004,0.0002,0.42397838458418846,3108
212,2900,1.43,38,0.01,8252,1.89939144,0.0002,0.39038049429655075,3248
209,3000,1.44,40,0.01,8396,1.91105281,0.0002,0.30857856944203377,3392
206,3100,1.47,41,0.01,8543,1.87799566,0.0002,0.29702579602599144,3540
203,3200,1.27,42,0.01,8670,1.9102603599999997,0.0002,0.29454388841986656,3668
200,3300,1.31,43,0.01,8801,1.93617881,0.0002,0.24571609497070312,3800
196,3400,1.36,45,0.01,8937,1.89993878,0.0002,0.3003250062465668,3936
193,3500,1.41,46,0.01,9078,1.88779441,0.0002,0.25830425694584846,4076
190,3600,1.5,48,0.01,9228,1.91323606,0.0002,0.24981628730893135,4224
187,3700,1.44,49,0.01,9372,1.9154825100000001,0.0002,0.21284984052181244,4368
185,3800,1.35,51,0.01,9507,1.92036947,0.0002,0.20886918902397156,4504
182,3900,1.23,52,0.01,9630,1.9390169499999999,0.0002,0.1721559539437294,4628
180,4000,1.27,54,0.01,9757,1.9065929,0.0002,0.1746758557856083,4756
177,4100,1.45,55,0.01,9902,1.9063878600000002,0.0002,0.16186168044805527,4900
