episode,reward,success_rate,qscore
1,2.0,1,11.88
2,1.7470722198486328,1,10.59
3,1.9650739431381226,1,11.44
4,1.9842092990875244,1,11.62
5,2.0,1,11.96
6,2.0,1,11.96
7,1.7519042491912842,1,11.11
8,1.2593554258346558,1,6.99
9,1.8537876605987549,1,11.55
10,1.9837772846221924,1,11.61
11,1.9389643669128418,1,11.21
12,1.9405146837234497,1,11.21
13,1.9664067029953003,1,11.46
14,2.0,1,11.77
15,2.0,1,11.96
16,1.990696907043457,1,11.68
17,1.8835828304290771,1,11.82
18,2.0,1,11.88
19,1.967233657836914,1,11.47
20,2.0,1,11.84
21,1.8016692399978638,1,11.64
22,1.9965894222259521,1,11.73
23,1.9983488321304321,1,11.75
24,1.9968900680541992,1,11.73
25,1.9881038665771484,1,11.66
26,2.0,1,11.93
27,1.9996834993362427,1,11.76
28,1.881448745727539,1,11.8
29,1.9866580963134766,1,11.65
30,1.9529379606246948,1,11.33
31,2.0,1,11.98
32,1.9950764179229736,1,11.72
33,1.996856689453125,1,11.74
34,1.8536555767059326,1,11.55
35,1.9910544157028198,1,11.68
36,2.0,1,11.81
37,1.9739937782287598,1,11.53
38,2.0,1,11.9
39,1.7524490356445312,1,9.58
40,2.0,1,11.82
41,1.9780173301696777,1,11.56
42,1.9987177848815918,1,11.75
43,2.0,1,11.83
44,1.8127379417419434,1,10.16
45,1.95706307888031,1,11.92
46,2.0,1,11.82
47,2.0,1,12.0
48,1.7547919750213623,1,9.55
49,1.9822993278503418,1,11.6
50,1.9817947149276733,1,11.59
51,1.9546277523040771,1,11.36
52,1.3147730827331543,1,6.78
53,2.0,1,11.97
54,1.8419415950775146,1,11.45
55,1.8042222261428833,1,10.27
56,2.0,1,11.8
57,1.9491298198699951,1,11.29
58,2.0,1,11.85
59,2.0,1,11.84
60,1.9662851095199585,1,11.46
61,2.0,1,11.99
62,1.9434727430343628,1,11.25
63,1.973938226699829,1,11.53
64,1.9697505235671997,1,11.47
65,1.5874338150024414,1,7.16
66,1.6812493801116943,1,11.06
67,2.0,1,11.98
68,1.9710322618484497,1,11.5
69,1.9927294254302979,1,11.69
70,2.0,1,11.78
71,1.9568359851837158,1,11.37
72,1.9953560829162598,1,11.72
73,2.0,1,11.96
74,1.447495937347412,1,5.94
75,1.868674635887146,1,11.69
76,1.9695237874984741,1,11.49
77,1.7491710186004639,1,9.52
78,2.0,1,11.77
79,1.9790107011795044,1,11.57
80,1.9738045930862427,1,11.53
81,2.0,1,11.92
82,1.7547214031219482,1,9.54
83,1.747017502784729,1,9.49
84,1.9904290437698364,1,11.68
85,1.986840844154358,1,11.64
86,1.9856144189834595,1,11.63
87,2.0,1,11.82
88,1.9740561246871948,1,11.53
89,1.3655002117156982,1,4.97
90,1.9627301692962646,1,11.97
91,1.9921412467956543,1,11.69
92,1.962808609008789,1,11.42
93,1.4667571783065796,1,6.26
94,2.0,1,11.9
95,1.9819775819778442,1,11.59
96,1.9546642303466797,1,11.35
97,2.0,1,11.82
98,2.0,1,11.83
99,1.9963483810424805,1,11.73
100,1.971864104270935,1,11.5
101,2.0,1,11.82
102,2.0,1,11.79
103,2.0,1,11.86
104,1.9918206930160522,1,11.69
105,1.3655271530151367,1,8.44
106,2.0,1,11.8
107,1.7488200664520264,1,9.48
108,2.0,1,11.88
109,2.0,1,12.0
110,1.972113013267517,1,11.51
111,1.9347807168960571,1,11.15
112,1.9537503719329834,1,11.35
113,1.4432653188705444,1,8.26
114,2.0,1,11.89
115,1.8022487163543701,1,9.91
116,1.9531141519546509,1,11.34
117,1.9589569568634033,1,11.4
118,2.0,1,11.79
119,1.997340202331543,1,11.74
120,2.0,1,11.83
121,2.0,1,11.82
122,1.9416704177856445,1,11.22
123,2.0,1,11.9
124,2.0,1,12.0
125,2.0,1,12.0
126,1.2822948694229126,1,4.35
127,2.0,1,11.9
128,1.4411433935165405,1,6.51
129,1.7538456916809082,1,9.54
130,2.0,1,11.97
131,2.0,1,11.93
132,2.0,1,11.95
133,2.0,1,11.78
134,1.961063027381897,1,11.42
135,1.3189061880111694,1,6.88
136,2.0,1,11.89
137,2.0,1,11.82
138,1.9935189485549927,1,11.7
139,1.9650946855545044,1,11.44
140,1.9805361032485962,1,11.58
141,2.0,1,11.83
142,1.700640320777893,1,11.3
143,1.994726538658142,1,11.71
144,1.7476381063461304,1,9.49
145,1.777403712272644,1,9.94
146,1.9797903299331665,1,11.58
147,1.9760868549346924,1,11.55
148,2.0,1,11.98
149,1.9994319677352905,1,11.76
150,1.865665078163147,1,10.55
151,1.9665701389312744,1,11.46
152,1.9755035638809204,1,11.54
153,2.0,1,11.88
154,1.981839895248413,1,11.6
155,1.998987078666687,1,11.75
156,2.0,1,11.8
157,1.959771752357483,1,11.39
158,1.9745714664459229,1,11.53
159,1.9859952926635742,1,11.64
160,1.763719081878662,1,9.55
161,1.992218017578125,1,11.69
162,2.0,1,11.76
163,1.7497555017471313,1,9.49
164,1.8506896495819092,1,10.41
165,1.7406446933746338,1,11.07
166,2.0,1,11.83
167,1.9822719097137451,1,11.6
168,1.456002950668335,1,6.78
169,1.97738516330719,1,11.56
170,1.941615104675293,1,11.23
171,2.0,1,11.78
172,1.4640588760375977,1,7.09
173,1.990785837173462,1,11.68
174,1.8794931173324585,1,11.78
175,2.0,1,11.88
176,1.9750645160675049,1,11.54
177,1.8116401433944702,1,10.12
178,2.0,1,12.0
179,1.8120689392089844,1,10.13
180,2.0,1,11.91
181,2.0,1,11.76
182,1.625937819480896,1,9.04
183,1.9902464151382446,1,11.67
184,2.0,1,11.96
185,2.0,1,11.9
186,1.9658207893371582,1,11.45
187,1.654595136642456,1,8.25
188,1.941567063331604,1,11.22
189,2.0,1,11.78
190,1.395627498626709,1,6.81
191,1.4748350381851196,1,7.11
192,1.7651060819625854,1,9.69
193,2.0,1,11.79
194,1.791047215461731,1,10.89
195,1.9746407270431519,1,11.54
196,2.0,1,11.98
197,1.5901281833648682,1,8.95
198,2.0,1,11.79
199,2.0,1,11.79
200,1.9997384548187256,1,11.75
201,2.0,1,11.89
202,1.998775601387024,1,11.75
203,1.9936468601226807,1,11.7
204,2.0,1,11.82
205,1.8233144283294678,1,10.15
206,1.8864127397537231,1,11.84
207,2.0,1,11.91
208,2.0,1,11.8
209,1.9037584066390991,1,10.87
210,1.9616128206253052,1,11.96
211,1.9777640104293823,1,11.55
212,1.4034408330917358,1,6.24
213,1.6631330251693726,1,9.76
214,1.2481313943862915,1,6.74
215,2.0,1,11.84
216,2.0,1,11.8
217,1.9851804971694946,1,11.62
218,1.9939152002334595,1,11.7
219,1.991666555404663,1,11.68
220,1.9924098253250122,1,11.69
221,2.0,1,11.89
222,2.0,1,11.87
223,1.993782639503479,1,11.7
224,1.3063515424728394,1,6.37
225,2.0,1,11.77
226,2.0,1,12.0
227,2.0,1,11.94
228,2.0,1,11.8
229,1.9592258930206299,1,11.39
230,1.2726236581802368,1,7.2
231,1.9861358404159546,1,11.63
232,1.9770376682281494,1,11.56
233,2.0,1,11.95
234,1.998876929283142,1,11.75
235,2.0,1,11.81
236,1.9475066661834717,1,11.28
237,1.5831665992736816,1,8.35
238,1.9793095588684082,1,11.58
239,2.0,1,11.86
240,1.9559844732284546,1,11.36
241,1.8774492740631104,1,11.76
242,2.0,1,11.77
243,1.991482138633728,1,11.68
244,2.0,1,11.81
245,2.0,1,11.88
246,1.9980891942977905,1,11.75
247,1.9379322528839111,1,11.18
248,1.5700724124908447,1,10.55
249,1.983864665031433,1,11.61
250,1.9219765663146973,1,11.05
251,1.9930232763290405,1,11.7
252,1.9821884632110596,1,11.6
253,1.9840388298034668,1,11.62
254,2.0,1,11.82
255,2.0,1,12.0
256,2.0,1,11.91
257,1.967198133468628,1,11.46
258,2.0,1,11.77
259,1.9813916683197021,1,11.6
260,2.0,1,11.81
261,1.3445491790771484,1,4.37
262,2.0,1,11.84
263,1.9817783832550049,1,11.6
264,2.0,1,11.87
265,1.9762612581253052,1,11.55
266,2.0,1,11.95
267,2.0,1,11.88
268,1.9845478534698486,1,11.62
269,1.997776985168457,1,11.74
270,1.9032663106918335,1,10.86
271,1.9831095933914185,1,11.61
272,1.7152928113937378,1,8.91
273,1.7988847494125366,1,11.62
274,1.9570825099945068,1,11.37
275,2.0,1,11.91
276,1.4914392232894897,1,7.28
277,1.9923471212387085,1,11.69
278,1.980348825454712,1,11.59
279,1.9412294626235962,1,11.23
280,1.981168508529663,1,11.59
281,2.0,1,12.0
282,1.4538737535476685,1,8.36
283,1.9888536930084229,1,11.67
284,1.9119799137115479,1,11.52
285,2.0,1,11.89
286,1.4502767324447632,1,6.7
287,1.9467638731002808,1,11.27
288,1.9998077154159546,1,11.76
289,1.9008017778396606,1,11.41
290,1.9405688047409058,1,11.22
291,1.8979065418243408,1,11.94
292,2.0,1,11.95
293,1.9840790033340454,1,11.62
294,1.9597896337509155,1,11.94
295,1.9635306596755981,1,11.43
296,1.8163230419158936,1,10.09
297,1.4412567615509033,1,8.24
298,1.8310409784317017,1,10.55
299,1.9333338737487793,1,11.16
300,2.0,1,12.0
301,1.8199808597564697,1,11.81
302,1.9857627153396606,1,11.64
303,2.0,1,11.88
304,1.9191925525665283,1,11.02
305,2.0,1,11.83
306,1.975954294204712,1,11.55
307,1.99920654296875,1,11.75
308,1.7876527309417725,1,9.94
309,2.0,1,12.0
310,1.8903566598892212,1,11.88
311,1.8386414051055908,1,11.42
312,1.6781487464904785,1,11.01
313,1.9887058734893799,1,11.66
314,2.0,1,11.87
315,2.0,1,11.8
316,1.9957780838012695,1,11.72
317,1.9864362478256226,1,11.64
318,1.6285399198532104,1,9.2
319,1.9849835634231567,1,11.62
320,2.0,1,12.0
321,2.0,1,12.0
322,2.0,1,11.87
323,2.0,1,11.82
324,1.9893959760665894,1,11.66
325,1.999117136001587,1,11.74
326,2.0,1,11.92
327,2.0,1,11.82
328,2.0,1,11.88
329,2.0,1,11.96
330,1.6859323978424072,1,11.75
331,2.0,1,11.83
332,2.0,1,11.92
333,1.9720808267593384,1,11.5
334,1.7067924737930298,1,8.84
335,1.9836351871490479,1,11.62
336,1.8133983612060547,1,11.16
337,1.7537293434143066,1,11.14
338,1.1704728603363037,1,4.8
339,2.0,1,12.0
340,2.0,1,11.84
341,1.9779353141784668,1,11.57
342,1.997675895690918,1,11.74
343,1.576093077659607,1,9.5
344,2.0,1,11.99
345,2.0,1,11.89
346,1.5744554996490479,1,8.32
347,2.0,1,11.92
348,1.4507503509521484,1,6.66
349,1.9717581272125244,1,11.49
350,1.9428832530975342,1,11.25
351,2.0,1,11.99
352,2.0,1,11.89
353,1.353922963142395,1,7.5
354,2.0,1,12.0
355,1.990969181060791,1,11.68
356,1.9826821088790894,1,11.61
357,1.4831161499023438,1,7.33
358,1.5638624429702759,1,8.65
359,1.472453236579895,1,7.2
360,2.0,1,11.96
361,1.8419344425201416,1,11.44
362,1.7584930658340454,1,9.68
363,2.0,1,12.0
364,2.0,1,11.84
365,1.917414665222168,1,11.0
366,1.926355004310608,1,11.09
367,2.0,1,12.0
368,2.0,1,11.94
369,1.997171401977539,1,11.74
370,1.9871320724487305,1,11.64
371,2.0,1,11.89
372,2.0,1,11.84
373,1.9896972179412842,1,11.67
374,2.0,1,12.0
375,1.896083950996399,1,11.93
376,1.9829288721084595,1,11.6
377,2.0,1,11.84
378,2.0,1,11.82
379,1.8151262998580933,1,11.17
380,1.9807952642440796,1,11.59
381,1.945553183555603,1,11.27
382,2.0,1,11.79
383,1.5680270195007324,1,9.56
384,2.0,1,12.0
385,1.9919525384902954,1,11.69
386,1.9835023880004883,1,11.62
387,2.0,1,11.78
388,1.9819427728652954,1,11.6
389,2.0,1,12.0
390,1.9814916849136353,1,11.6
391,2.0,1,12.0
392,1.9961626529693604,1,11.73
393,1.9722028970718384,1,11.5
394,1.990138292312622,1,11.68
395,1.3676776885986328,1,5.01
396,2.0,1,11.78
397,1.90280282497406,1,10.9
398,1.3970154523849487,1,5.56
399,2.0,1,11.97
400,1.9438515901565552,1,11.26
401,2.0,1,11.77
402,1.9987339973449707,1,11.75
403,1.9780381917953491,1,11.57
404,2.0,1,12.0
