timestamp,request_id,agent_success,dijkstra_success,agent_hops,dijkstra_hops,agent_latency,agent_uplink,agent_downlink,agent_reliability,agent_cpu,agent_power,dijkstra_latency,dijkstra_uplink,dijkstra_downlink,dijkstra_reliability,dijkstra_cpu,dijkstra_power
1766668733.472757,req_u04bnr3q1,True,True,1,1,5.775668017450869,2.37,12.76,0.9724622238363334,16,29,5.775668017450869,2.37,12.76,0.9724622238363334,16,29
1766668734.766415,req_cbgr2d6gz,False,False,0,0,0,0.1,0.31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1766668734.931815,req_p3nbnpigm,True,True,1,1,7.295901832833415,10.49,43.29,0.9206710561386824,43,76,7.295901832833415,10.49,43.29,0.9206710561386824,43,76
1766668735.21763,req_qps6qfar4,True,True,1,1,4.126950331116481,0.26,0.39,0.977682589811462,6,5,4.126950331116481,0.26,0.39,0.977682589811462,6,5
1766668735.3476238,req_1sfq7tsl8,True,True,1,1,8.342669752543115,2.34,6.34,0.8866223830134364,23,37,8.342669752543115,2.34,6.34,0.8866223830134364,23,37
1766668735.463165,req_akfa24bzy,True,True,1,1,9.030723415166637,1.39,9.33,0.864930568461887,28,34,9.030723415166637,1.39,9.33,0.864930568461887,28,34
1766668735.598986,req_kcu3hxepz,True,True,2,2,39.94558877648576,0.12,0.17,0.7705381189139833,3,7,39.94558877648576,0.12,0.17,0.7705381189139833,3,7
1766668735.728958,req_d1rzmjc7x,True,True,1,1,9.068006078214285,0.21,0.48,0.8637704582340506,3,3,9.068006078214285,0.21,0.48,0.8637704582340506,3,3
1766668735.845491,req_7w5c7ytti,True,True,1,1,9.164717408318268,0.29,0.25,0.8607683772638051,1,5,9.164717408318268,0.29,0.25,0.8607683772638051,1,5
1766668735.978441,req_r3fpwrp9v,True,True,1,1,8.269935773961217,0.27,0.14,0.842216907664608,2,9,8.269935773961217,0.27,0.14,0.842216907664608,2,9
1766668736.0955908,req_20j1v4b48,True,True,1,1,13.168418498527888,0.22,0.27,0.745229491357644,2,2,13.168418498527888,0.22,0.27,0.745229491357644,2,2
1766668736.236567,req_k1vw9b9hq,True,True,5,2,56.730835994649325,3.94,15.09,0.7743724648466689,19,22,41.90831445780148,3.94,15.09,0.7974920669302117,19,22
1766668736.3507981,req_g03qro60j,True,True,1,1,8.627152057661512,2.7,9.6,0.8775884999569459,38,44,8.627152057661512,2.7,9.6,0.8775884999569459,38,44
1766668736.49322,req_ml9qi9w3k,True,True,1,1,10.68349358182471,0.17,0.42,0.8149685389956534,3,6,10.68349358182471,0.17,0.42,0.8149685389956534,3,6
1766668736.633046,req_kw4743co0,True,True,4,2,53.08373257958043,2.18,9.66,0.7808152646059829,29,38,41.87463818740656,2.18,9.66,0.7980562541319243,29,38
1766668736.7749481,req_q95wbblz3,True,True,1,1,9.115743294707514,0.12,0.06,0.8622873091193164,3,4,9.115743294707514,0.12,0.06,0.8622873091193164,3,4
1766668736.925696,req_n8z66pumz,True,True,1,1,9.097099432343768,2.63,18.11,0.8628662525576669,15,32,9.097099432343768,2.63,18.11,0.8628662525576669,15,32
1766668737.062867,req_38rymxqra,True,True,2,2,36.12623671354729,1.18,0.77,0.7938507885255706,15,19,36.12623671354729,1.18,0.77,0.7938507885255706,15,19
1766668737.206789,req_p94kg6ul0,True,True,1,1,5.4129024660628495,0.2,0.15,0.9334531648867613,6,6,5.4129024660628495,0.2,0.15,0.9334531648867613,6,6
1766668737.342206,req_ha3ht8xl1,True,True,2,2,43.93061932968144,2.43,12.02,0.7643329440487724,17,29,43.93061932968144,2.43,12.02,0.7643329440487724,17,29
1766668737.471533,req_kjw7qvo43,True,True,1,1,8.898300067108243,0.93,1.31,0.7942644581952402,11,12,8.898300067108243,0.93,1.31,0.7942644581952402,11,12
1766668737.6041338,req_wpxjq2b3f,True,True,1,1,8.280860409715924,0.05,0.16,0.888597435264673,2,2,8.280860409715924,0.05,0.16,0.888597435264673,2,2
1766668737.737586,req_ug4u43kkg,True,True,1,1,7.606429747950955,1.9,9.52,0.910436184279226,23,37,5.690416628785616,1.9,9.52,0.9754513435492582,23,37
1766668737.87426,req_0v9kpsl2g,True,True,1,1,7.528533467523422,2.24,7.88,0.9129928727447444,27,29,7.528533467523422,2.24,7.88,0.9129928727447444,27,29
1766668738.02021,req_p30y4evht,True,True,1,1,10.703287916642925,2.72,11.49,0.8143880024996484,5,40,10.703287916642925,2.72,11.49,0.8143880024996484,5,40
1766668738.119325,req_oarqqzdpz,True,True,1,1,10.769246465133133,0.14,0.33,0.8124565259402942,4,6,10.769246465133133,0.14,0.33,0.8124565259402942,4,6
1766668738.234983,req_ld0za9cvv,True,True,1,1,8.66054625848913,0.11,0.48,0.8765341046782976,4,6,8.66054625848913,0.11,0.48,0.8765341046782976,4,6
1766668738.334582,req_qd0rgzdq7,True,True,1,1,3.8783475484639274,1.46,1.88,0.9515904733979816,8,11,3.8783475484639274,1.46,1.88,0.9515904733979816,8,11
1766668738.4510221,req_px400ukq7,True,True,1,1,6.750159873138418,0.2,0.39,0.9389380696784468,4,6,6.750159873138418,0.2,0.39,0.9389380696784468,4,6
1766668738.574645,req_1ezjv90su,True,True,3,3,51.41977854459651,2.01,7.68,0.7028474848934216,23,28,51.41977854459651,2.01,7.68,0.7028474848934216,23,28
1766668738.7169678,req_8689x5shl,True,True,1,1,5.423980919104523,0.26,0.14,0.9330809553008738,6,6,5.423980919104523,0.26,0.14,0.9330809553008738,6,6
1766668738.8330739,req_wq8oi9ovs,True,True,1,1,11.99333740763975,2.15,12.87,0.7774311851627705,37,46,11.99333740763975,2.15,12.87,0.7774311851627705,37,46
1766668738.9655092,req_6hzw32m9x,True,True,1,1,4.08047490608555,0.91,1.56,0.9446912762912332,8,14,4.08047490608555,0.91,1.56,0.9446912762912332,8,14
1766668739.099316,req_3yo6zd23l,True,True,1,1,9.730765978619655,0.1,0.49,0.8434053660984354,2,6,9.730765978619655,0.1,0.49,0.8434053660984354,2,6
1766668739.231019,req_vqgl2ollh,True,True,1,1,5.467750110618148,4.59,8.17,0.9833019795950958,6,13,5.467750110618148,4.59,8.17,0.9833019795950958,6,13
1766668748.694037,req_25rhqypgq,True,True,1,1,9.025015071894172,1.35,9.96,0.8651083302676175,15,38,9.025015071894172,1.35,9.96,0.8651083302676175,15,38
1766668748.809941,req_x46wjis45,True,True,1,1,6.7708750332149945,0.28,0.37,0.8889169199625422,4,7,6.7708750332149945,0.28,0.37,0.8889169199625422,4,7
